iter	Passed	Remaining
1430	38018	227661
1431	38044	227630
1432	38072	227611
1433	38103	227610
1434	38132	227597
1435	38162	227594
1436	38188	227564
1437	38213	227526
1438	38238	227490
1439	38260	227440
1440	38283	227387
1441	38308	227356
1442	38331	227306
1443	38358	227282
1444	38381	227235
1445	38407	227206
1446	38433	227173
1447	38459	227142
1448	38486	227118
1449	38512	227093
1450	38540	227072
1451	38566	227041
1452	38589	226998
1453	38614	226962
1454	38642	226943
1455	38669	226916
1456	38694	226881
1457	38722	226863
1458	38749	226840
1459	38779	226831
1460	38806	226808
1461	38833	226787
1462	38861	226767
1463	38891	226760
1464	38915	226717
1465	38941	226688
1466	38966	226656
1467	38989	226606
1468	39017	226589
1469	39040	226543
1470	39065	226503
1471	39092	226483
1472	39118	226451
1473	39144	226422
1474	39172	226404
1475	39202	226397
1476	39231	226384
1477	39262	226385
1478	39286	226340
1479	39311	226303
1480	39337	226279
1481	39366	226266
1482	39394	226245
1483	39422	226225
1484	39445	226178
1485	39471	226151
1486	39495	226110
1487	39522	226084
1488	39548	226057
1489	39578	226051
1490	39603	226014
1491	39631	225994
1492	39658	225970
1493	39684	225939
1494	39710	225909
1495	39739	225900
1496	39766	225874
1497	39796	225866
1498	39822	225840
1499	39850	225821
1500	39875	225785
1501	39900	225748
1502	39928	225728
1503	39952	225689
1504	39973	225631
1505	39998	225596
1506	40024	225565
1507	40053	225552
1508	40073	225492
1509	40097	225448
1510	40123	225418
1511	40150	225394
1512	40175	225362
1513	40200	225326
1514	40231	225323
1515	40254	225276
1516	40279	225239
1517	40308	225227
1518	40338	225223
1519	40365	225199
1520	40390	225163
1521	40416	225129
1522	40442	225101
1523	40468	225070
1524	40495	225047
1525	40523	225028
1526	40547	224991
1527	40574	224967
1528	40596	224913
1529	40620	224872
1530	40643	224829
1531	40666	224782
1532	40693	224756
1533	40715	224705
1534	40744	224689
1535	40767	224646
1536	40794	224623
1537	40821	224598
1538	40850	224587
1539	40876	224552
1540	40908	224556
1541	40933	224526
1542	40961	224503
1543	40989	224485
1544	41015	224459
1545	41043	224440
1546	41072	224425
1547	41099	224399
1548	41125	224369
1549	41156	224367
1550	41180	224330
1551	41207	224305
1552	41234	224280
1553	41262	224263
1554	41287	224224
1555	41308	224171
1556	41334	224141
1557	41358	224100
1558	41381	224055
1559	41407	224026
1560	41431	223985
1561	41456	223949
1562	41486	223941
1563	41514	223922
1564	41542	223906
1565	41565	223858
1566	41591	223828
1567	41619	223808
1568	41646	223789
1569	41674	223769
1570	41699	223734
1571	41725	223703
1572	41753	223682
1573	41778	223648
1574	41802	223612
1575	41828	223581
1576	41855	223558
1577	41879	223514
1578	41907	223500
1579	41934	223474
1580	41959	223438
1581	41986	223414
1582	42009	223368
1583	42032	223324
1584	42056	223283
1585	42082	223252
1586	42108	223227
1587	42137	223214
1588	42165	223193
1589	42191	223162
1590	42218	223138
1591	42242	223098
1592	42274	223099
1593	42298	223064
1594	42324	223034
1595	42351	223008
1596	42378	222983
1597	42406	222964
1598	42433	222941
1599	42464	222938
1600	42491	222916
1601	42516	222878
1602	42541	222845
1603	42566	222809
1604	42590	222768
1605	42616	222741
1606	42640	222702
1607	42669	222688
1608	42696	222662
1609	42727	222658
1610	42753	222632
1611	42781	222611
1612	42806	222576
1613	42832	222546
1614	42858	222520
1615	42885	222496
1616	42916	222492
1617	42943	222465
1618	42969	222436
1619	42998	222422
1620	43024	222397
1621	43052	222375
1622	43081	222361
1623	43108	222337
1624	43133	222304
1625	43159	222276
1626	43188	222260
1627	43217	222247
1628	43242	222213
1629	43271	222199
1630	43297	222166
1631	43322	222136
1632	43347	222101
1633	43375	222081
1634	43400	222046
1635	43428	222025
1636	43452	221989
1637	43476	221949
1638	43503	221923
1639	43526	221879
1640	43554	221857
1641	43581	221836
1642	43607	221806
1643	43632	221771
1644	43656	221730
1645	43680	221694
1646	43708	221675
1647	43731	221630
1648	43758	221603
1649	43784	221573
1650	43809	221543
1651	43832	221496
1652	43859	221474
1653	43884	221440
1654	43910	221411
1655	43937	221386
1656	43966	221372
1657	43990	221331
1658	44016	221301
1659	44039	221259
1660	44066	221235
1661	44092	221205
